type_of_sentence,verb_main_semantic_class,verb_second_semantic_class,verb_third_semantic_class,verb_veridical_positive,verb_veridical_negative,verb_tense,t_negation,presupposition
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,past,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,past,0,yes
modalne,?,none,none,+,+,past,0,yes
1,emotywny,epistemiczny,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,none,none,+,?,present,0,no
1,odkrycia,none,none,+,?,past,0,no
1,odkrycia,none,none,+,?,past,0,no
1,odkrycia,none,none,+,?,past,0,yes
1,odkrycia,none,none,+,?,past,0,yes
1,odkrycia,none,none,+,?,present,0,yes
?,epistemiczny,none,none,+,+,present,0,yes
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
pytajne,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,mówienia,none,none,o,?,present,0,no
1,epistemiczny,none,none,+,?,past,0,no
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,present,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,present,0,yes
?,pamięciowy,epistemiczny,none,+,+,brak,0,yes
?,pamięciowy,epistemiczny,none,+,+,present,0,yes
?,pamięciowy,epistemiczny,none,+,+,present,0,yes
1,percepcyjny,none,none,+,?,present,0,no
1,epistemiczny,none,none,o,o,past,1,no
1,mówienia,emotywny,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
modalne,emotywny,epistemiczny,none,+,+,brak,0,no
1,epistemiczny,none,none,o,o,present,1,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,mówienia,none,none,o,?,past,1,no
1,epistemiczny,none,none,+,+,present,0,yes
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
wolitywne,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,epistemiczny,none,none,o,o,brak,0,no
1,epistemiczny,none,none,o,o,past,1,no
1,epistemiczny,none,none,o,o,brak,0,no
1,epistemiczny,none,none,o,o,past,0,no
imperatyw,epistemiczny,none,none,o,o,past,1,no
warunkowe; modalne,epistemiczny,none,none,o,o,brak,0,no
modalne,przyczynowy,none,none,+,+,present,1,yes
1,mówienia,none,none,o,o,past,0,no
1,mówienia,none,none,o,o,past,0,no
1,przyczynowy,none,none,+,o,past,0,no
1,przyczynowy,none,none,+,o,present,0,no
1,przyczynowy,none,none,+,o,present,0,no
1,przyczynowy,none,none,+,o,present,0,no
1,epistemiczny,none,none,+,+,future,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
performatyw,mówienia,none,none,+,+,present,0,yes
performatyw,mówienia,none,none,+,+,present,0,no
1,emotywny,epistemiczny,none,+,+,past,0,yes
pytajne,przyczynowy,none,none,+,+,past,0,yes
modalne,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
pytajne,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,o,o,present,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,future,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
modalne,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,future,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
?,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,future,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,none,none,o,o,past,1,yes
1,epistemiczny,none,none,o,o,past,1,no
1,epistemiczny,none,none,o,o,past,1,no
1,mówienia,none,none,o,?,past,0,no
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,1,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,0,no
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
?,mówienia,none,none,o,o,brak,0,yes
?,mówienia,none,none,o,o,present,0,yes
?,mówienia,none,none,o,o,brak,0,yes
modalne,mówienia,none,none,o,o,present,0,yes
performatyw,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,present,0,yes
performatyw,mówienia,none,none,o,o,present,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,o,o,past,0,no
1,percepcyjny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,o,+,past,0,no
1,epistemiczny,none,none,o,+,past,1,yes
?,epistemiczny,none,none,o,+,brak,1,no
modalne,epistemiczny,none,none,o,+,past,0,yes
modalne,epistemiczny,none,none,o,+,past,0,no
pytajne,epistemiczny,none,none,o,+,past,1,no
1,epistemiczny,percepcyjny,none,+,+,past,0,yes
1,przyczynowy,none,none,+,o,present,0,yes
1,przyczynowy,none,none,+,o,past,0,no
1,przyczynowy,none,none,+,o,past,0,no
1,przyczynowy,none,none,+,o,past,0,yes
1,przyczynowy,none,none,+,o,past,0,yes
1,przyczynowy,none,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,1,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,present,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,przyczynowy,zdarzeniowy,none,+,o,past,0,no
1,mówienia,none,none,o,o,present,0,no
1,mówienia,emotywny,epistemiczny,o,?,present,0,no
1,mówienia,emotywny,epistemiczny,o,?,present,0,yes
1,epistemiczny,none,none,o,o,past,0,no
1,emotywny,mówienia,epistemiczny,+,+,past,0,yes
1,?,none,none,-,+,past,0,no
1,?,none,none,-,+,past,0,no
1,?,none,none,-,+,past,0,yes
1,?,none,none,-,+,present,0,yes
1,?,none,none,-,+,past,0,yes
1,?,none,none,-,+,present,0,no
1,?,none,none,-,+,future,1,yes
1,?,none,none,-,+,present,0,no
1,?,none,none,-,+,future,0,yes
1,?,none,none,-,+,present,0,no
1,?,none,none,-,+,present,0,no
1,?,none,none,-,+,past,0,no
1,?,none,none,-,+,past,0,yes
modalne,?,none,none,-,+,present,0,no
pytajne,?,none,none,-,+,present,0,yes
pytajne,?,none,none,-,+,present,0,yes
1,dowodzenia,mówienia,mówienia,o,o,present,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
wolitywne,mówienia,epistemiczny,percepcyjny,+,?,past,1,no
1,epistemiczny,none,none,+,+,future,0,no
1,epistemiczny,none,none,+,+,future,0,no
1,epistemiczny,wolicjonalny,none,-,?,past,0,no
1,epistemiczny,none,none,+,+,future,0,yes
1,epistemiczny,none,none,+,+,future,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,o,o,present,0,no
imperatyw,epistemiczny,none,none,o,o,present,1,yes
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,+,+,future,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,mówienia,none,none,-,?,present,0,yes
1,epistemiczny,none,none,+,?,present,0,no
1,epistemiczny,none,none,+,?,past,0,yes
1,epistemiczny,none,none,+,?,past,0,yes
1,epistemiczny,none,none,+,?,past,0,yes
1,epistemiczny,none,none,+,?,present,0,yes
1,epistemiczny,none,none,+,?,past,0,yes
1,epistemiczny,none,none,+,?,present,0,yes
1,epistemiczny,none,none,+,?,past,0,yes
1,epistemiczny,none,none,+,?,past,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,present,0,yes
1,percepcyjny,epistemiczny,none,+,+,present,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,present,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,present,0,yes
1,percepcyjny,epistemiczny,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,no
modalne,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,no
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,no
?,epistemiczny,none,none,+,+,present,0,yes
pytajne,epistemiczny,none,none,+,+,past,1,yes
pytajne,epistemiczny,none,none,+,+,present,0,yes
generalne,mówienia,none,none,-,o,present,0,no
1,przyczynowy,none,none,+,o,past,0,yes
1,mówienia,pamięciowy,none,o,?,present,0,yes
