type_of_sentence,verb_main_semantic_class,verb_second_semantic_class,verb_third_semantic_class,verb_veridical_positive,verb_veridical_negative,verb_tense,t_negation,semantic_relation
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
generalne,epistemiczny,none,none,o,o,present,0,N
generalne,epistemiczny,none,none,o,o,present,0,N
none,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,+,+,past,0,E
?,?,none,none,+,+,present,0,E
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,past,0,N
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,zdarzeniowy,none,none,+,-,past,0,E
1,zdarzeniowy,none,none,+,-,past,0,E
1,zdarzeniowy,none,none,+,-,past,0,E
1,zdarzeniowy,none,none,+,-,past,0,E
1,zdarzeniowy,none,none,+,-,present,0,E
1,mówienia,emotywny,none,o,o,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,past,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,1,E
1,emotywny,epistemiczny,none,+,+,past,0,?
1,emotywny,epistemiczny,none,+,+,past,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,emotywny,epistemiczny,none,+,+,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,wnioskowania,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,past,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,wnioskowania,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,1,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,present,0,N
1,mówienia,wolicjonalny,none,+,+,past,1,E
1,percepcyjny,none,none,+,+,past,0,E
1,percepcyjny,mówienia,none,o,o,present,0,?
1,percepcyjny,mówienia,none,o,o,present,0,N
1,mówienia,epistemiczny,none,o,o,past,0,N
1,mówienia,epistemiczny,none,o,o,past,0,N
1,mówienia,epistemiczny,none,o,o,past,0,N
1,mówienia,epistemiczny,none,o,o,past,0,N
modalne,mówienia,epistemiczny,none,o,o,past,0,N
1,czynnościowy,epistemiczny,none,+,+,past,1,E
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,przyczynowy,epistemiczny,none,o,o,present,0,E
1,przyczynowy,epistemiczny,none,o,o,past,0,E
1,przyczynowy,epistemiczny,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,zdarzeniowy,none,none,+,o,present,0,E
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,future,0,N
?,mówienia,none,none,o,o,present,0,N
?,mówienia,none,none,o,o,brak,0,N
imperatyw ,mówienia,none,none,o,o,brak,0,N
imperatyw ,mówienia,none,none,o,o,brak,0,N
imperatyw ,mówienia,none,none,o,o,brak,0,N
modalne,mówienia,none,none,o,o,present,0,N
modalne,mówienia,none,none,o,o,present,0,N
powinnościowe,mówienia,none,none,o,o,present,0,E
powinnościowe,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,zdarzeniowy,none,none,+,-,past,0,E
1,epistemiczny,none,none,o,?,present,0,N
1,epistemiczny,none,none,o,?,past,0,N
1,epistemiczny,none,none,o,?,present,0,N
1,epistemiczny,none,none,o,?,present,0,N
modalne,epistemiczny,none,none,o,?,present,0,N
modalne,epistemiczny,none,none,o,?,present,0,N
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,1,E
modal,epistemiczny,none,none,+,+,present,0,?
1,mówienia,none,none,o,o,future,0,N
1,przyczynowy,none,none,+,o,future,0,N
1,przyczynowy,none,none,+,o,future,0,N
1,przyczynowy,none,none,+,o,past,0,E
modalne,percepcyjny,epistemiczny,none,+,+,past,0,E
1,epistemiczny,percepcyjny,none,+,+,present,0,E
modalne,epistemiczny,none,none,+,o,past,0,?
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,?
pytajne,epistemiczny,none,none,+,o,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,future,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,?
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,past,0,?
1,epistemiczny,none,none,+,+,past,0,?
warunkowe; pytajne,epistemiczny,none,none,+,+,future,0,?
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,E
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,E
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,E
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,E
wolitywne,dowodzenia,wnioskowania,mówienia,+,o,past,0,N
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,?
1,dowodzenia,wnioskowania,mówienia,o,o,present,0,N
1,dowodzenia,wnioskowania,mówienia,o,o,past,0,N
1,dowodzenia,wnioskowania,mówienia,o,o,present,0,N
1,zdarzeniowy,none,none,+,-,present,0,E
1,mówienia,wolicjonalny,none,+,+,present,0,E
1,mówienia,wolicjonalny,none,+,o,present,0,E
1,mówienia,wolicjonalny,none,+,o,present,0,E
performatyw,mówienia,wolicjonalny,none,+,o,present,0,E
1,epistemiczny,none,none,+,+,present,1,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,brak,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,0,E
powinnościowe,epistemiczny,none,none,+,+,present,1,E
powtarzające się zdarzenie,epistemiczny,none,none,+,+,present,0,N
none,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,1,E
generalne,epistemiczny,none,none,+,+,present,0,N
1,mówienia,none,none,o,o,future,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,wolicjonalny,none,o,o,present,0,N
1,mówienia,emotywny,none,o,o,past,0,N
1,mówienia,emotywny,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,1,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
1,emotywny,epistemiczny,none,+,+,present,0,E
1,mówienia,emotywny,none,+,?,present,0,E
1,mówienia,none,none,o,o,present,0,N
1,mówienia,emotywny,none,+,?,present,1,N
1,epistemiczny,none,none,o,+,present,1,E
1,epistemiczny,none,none,o,+,present,0,?
kontrfaktyczne,epistemiczny,none,none,o,+,brak,0,?
1,epistemiczny,nie-wiedzowy,none,o,o,past,0,N
1,epistemiczny,nie-wiedzowy,none,o,o,present,0,N
1,epistemiczny,nie-wiedzowy,none,o,o,present,0,N
1,epistemiczny,nie-wiedzowy,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,present,0,N
modalne,epistemiczny,none,none,o,o,present,1,N
1,epistemiczny,none,none,+,+,past,0,E
imperatyw,epistemiczny,wolicjonalny,none,-,-,brak,1,C
1,epistemiczny,wolicjonalny,none,-,-,past,0,C
1,epistemiczny,wolicjonalny,none,-,-,past,0,C
1,epistemiczny,wolicjonalny,none,-,-,past,0,C
1,emotywny,epistemiczny,none,o,o,past,0,E
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,past,0,N
performatyw,mówienia,none,none,o,o,present,0,N
performatyw,mówienia,none,none,o,o,present,0,N
1,epistemiczny,none,none,+,+,past,0,?
1,epistemiczny,none,none,+,+,past,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,past,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,past,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,wolicjonalny,none,o,o,present,0,N
imperatyw ,epistemiczny,wolicjonalny,none,o,o,brak,0,N
modalne,epistemiczny,wolicjonalny,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,1,N
warunkowe,epistemiczny,none,none,o,o,brak,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
generalne,emotywny,epistemiczny,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,+,+,past,0,E
1,epistemiczny,none,none,+,+,present,0,?
powinnościowe,epistemiczny,none,none,+,+,present,0,E
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,1,N
1,epistemiczny,none,none,o,o,past,0,N
generalne,epistemiczny,none,none,o,o,present,0,N
modalne,epistemiczny,none,none,o,o,present,0,N
1,mówienia,none,none,+,?,past,0,?
modalne,epistemiczny,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,E
1,mówienia,none,none,o,o,past,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,past,0,N
prostujące,mówienia,none,none,o,o,present,1,N
prostujące,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,?
1,mówienia,none,none,o,o,past,0,?
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,?
1,mówienia,none,none,o,o,brak,0,N
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,E
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,1,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,brak,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,brak,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,1,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,1,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,brak,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,present,0,N
1,mówienia,none,none,o,o,past,0,N
?,mówienia,none,none,o,o,present,1,N
generalne,mówienia,none,none,o,o,past,0,N
generalne,mówienia,none,none,o,o,present,0,N
imperatyw,mówienia,none,none,o,o,brak,1,N
imperatyw,mówienia,none,none,o,o,brak,0,N
imperatyw ,mówienia,none,none,o,o,brak,1,N
imperatyw ,mówienia,none,none,o,o,brak,1,N
korygujące,mówienia,none,none,o,o,present,1,N
korygujące,mówienia,none,none,o,o,present,1,N
modalne,mówienia,none,none,o,o,present,1,C
modalne,mówienia,none,none,o,o,brak,0,N
modalne,mówienia,none,none,o,o,brak,0,N
prostujące,mówienia,none,none,o,o,past,1,N
pytajne,mówienia,none,none,o,o,present,0,N
pytajne,mówienia,none,none,o,o,past,0,N
pytajne,mówienia,none,none,o,o,present,0,N
pytajne,mówienia,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
pytajne,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,1,E
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,C
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,present,0,C
